village_id,date,ph,turbidity,orp,rainfall,true_diarrhea,true_vomiting,true_fever,report_text
V1,2025-01-01,7.0,1.84,361.2,5.9,1,2,0,Today 1 people have loose motions and 2 are vomiting after using handpump water.
V1,2025-01-02,6.87,3.46,388.0,2.4,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.
V1,2025-01-03,6.9,2.1,452.4,3.6,0,1,0,0 persons reported diarrhea and 1 vomiting today. Water source was pond.
V1,2025-01-04,6.87,3.5,387.9,7.7,0,1,0,Today 0 people have loose motions and 1 are vomiting after using pond water.
V1,2025-01-05,6.89,2.1,299.4,0.3,1,0,4,Today 1 people have loose motions and 0 are vomiting after using handpump water.
V1,2025-01-06,6.84,3.35,286.7,0.7,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking handpump water."
V1,2025-01-07,6.89,3.0,385.8,1.1,0,0,0,Today 0 people have loose motions and 0 are vomiting after using pond water.
V1,2025-01-08,6.86,3.61,342.6,5.0,0,0,1,0 persons reported diarrhea and 0 vomiting today. Water source was pond.
V1,2025-01-09,6.83,3.12,364.5,3.8,2,0,0,Today 2 people have loose motions and 0 are vomiting after using pond water.
V1,2025-01-10,6.76,6.35,391.7,21.3,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V1,2025-01-11,6.82,6.83,360.3,31.6,0,1,2,"There are 0 loose motion cases, 1 vomiting cases and 2 fever cases today after drinking handpump water."
V1,2025-01-12,6.88,6.38,338.3,29.1,1,1,0,"There are 1 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water."
V1,2025-01-13,6.9,6.4,425.4,33.5,3,1,0,Field worker noticed 3 diarrhea cases and 0 fever cases in the village. Source: handpump.
V1,2025-01-14,6.87,8.04,350.2,44.4,2,0,2,2 persons reported diarrhea and 0 vomiting today. Water source was pond.
V1,2025-01-15,6.82,4.2,406.1,6.1,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking handpump water."
V1,2025-01-16,6.74,6.19,352.7,43.6,3,1,1,Field worker noticed 3 diarrhea cases and 1 fever cases in the village. Source: river.
V1,2025-01-17,6.68,4.18,359.1,7.0,1,0,2,1 persons reported diarrhea and 0 vomiting today. Water source was pond.
V1,2025-01-18,6.71,3.99,361.9,2.8,3,0,2,Today 3 people have loose motions and 0 are vomiting after using river water.
V1,2025-01-19,6.73,9.79,302.3,46.5,1,0,1,"There are 1 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water."
V1,2025-01-20,6.69,4.11,355.8,5.3,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.
V1,2025-01-21,6.73,3.0,350.5,3.1,4,0,1,Field worker noticed 4 diarrhea cases and 1 fever cases in the village. Source: river.
V1,2025-01-22,6.72,4.62,378.6,7.6,0,1,3,"There are 0 loose motion cases, 1 vomiting cases and 3 fever cases today after drinking pond water."
V1,2025-01-23,6.69,2.28,378.4,6.8,2,2,0,Today 2 people have loose motions and 2 are vomiting after using handpump water.
V1,2025-01-24,6.75,3.0,392.2,5.9,0,0,2,Today 0 people have loose motions and 0 are vomiting after using river water.
V1,2025-01-25,6.75,4.18,403.2,4.1,2,0,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: handpump.
V1,2025-01-26,6.86,3.37,275.3,0.3,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V1,2025-01-27,6.85,7.74,412.4,52.9,0,1,0,0 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V1,2025-01-28,6.92,3.3,383.2,4.3,2,1,0,Today 2 people have loose motions and 1 are vomiting after using handpump water.
V1,2025-01-29,7.0,4.03,336.6,21.0,3,2,1,3 persons reported diarrhea and 2 vomiting today. Water source was pond.
V1,2025-01-30,7.06,2.26,321.7,2.0,0,0,0,Today 0 people have loose motions and 0 are vomiting after using river water.
V1,2025-01-31,7.16,8.46,349.2,54.2,1,0,0,Today 1 people have loose motions and 0 are vomiting after using pond water.
V1,2025-02-01,7.15,2.39,331.4,5.1,1,1,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.
V1,2025-02-02,7.13,7.75,354.5,45.7,5,2,0,Field worker noticed 5 diarrhea cases and 0 fever cases in the village. Source: river.
V1,2025-02-03,7.14,5.8,325.1,20.7,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: pond.
V1,2025-02-04,7.11,3.11,386.0,2.3,3,3,1,3 persons reported diarrhea and 3 vomiting today. Water source was river.
V1,2025-02-05,7.1,3.46,394.0,7.4,2,1,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: handpump.
V1,2025-02-06,7.07,2.39,426.5,3.1,1,0,1,Today 1 people have loose motions and 0 are vomiting after using handpump water.
V1,2025-02-07,7.07,4.02,314.1,6.3,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V1,2025-02-08,7.13,3.29,332.7,2.8,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V1,2025-02-09,7.1,3.26,404.4,6.5,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water."
V1,2025-02-10,7.1,2.08,322.7,0.9,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: river.
V1,2025-02-11,7.03,3.05,316.2,7.7,1,1,1,1 persons reported diarrhea and 1 vomiting today. Water source was handpump.
