village_id,date,ph,turbidity,orp,rainfall,true_diarrhea,true_vomiting,true_fever,report_text,diarrhea,vomiting,fever,suspected_source,total_risk,status,r_ph,r_turb,r_orp,r_rain,r_health,advisory
V1,2025-01-01,7.0,1.84,361.2,5.9,1,2,0,Today 1 people have loose motions and 2 are vomiting after using handpump water.,1,1,0,handpump,0.3318181818181818,YELLOW,0.0,0.1,0.1,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-02,6.87,3.46,388.0,2.4,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.,0,0,0,pond,0.055,GREEN,0.0,0.1,0.1,0.1,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-03,6.9,2.1,452.4,3.6,0,1,0,0 persons reported diarrhea and 1 vomiting today. Water source was pond.,1,1,0,pond,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-04,6.87,3.5,387.9,7.7,0,1,0,Today 0 people have loose motions and 1 are vomiting after using pond water.,0,1,0,pond,0.1954545454545454,GREEN,0.0,0.1,0.1,0.4,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-05,6.89,2.1,299.4,0.3,1,0,4,Today 1 people have loose motions and 0 are vomiting after using handpump water.,1,1,0,handpump,0.3318181818181817,YELLOW,0.0,0.1,0.4,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-06,6.84,3.35,286.7,0.7,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking handpump water.",0,1,0,handpump,0.1954545454545454,GREEN,0.0,0.1,0.4,0.1,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-07,6.89,3.0,385.8,1.1,0,0,0,Today 0 people have loose motions and 0 are vomiting after using pond water.,0,1,0,pond,0.1504545454545454,GREEN,0.0,0.1,0.1,0.1,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-08,6.86,3.61,342.6,5.0,0,0,1,0 persons reported diarrhea and 0 vomiting today. Water source was pond.,1,0,0,pond,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-09,6.83,3.12,364.5,3.8,2,0,0,Today 2 people have loose motions and 0 are vomiting after using pond water.,2,1,0,pond,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-10,6.76,6.35,391.7,21.3,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.3846136363636364,YELLOW,0.0,0.5,0.1,0.7216666666666667,0.4545454545454545,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
